stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id
22000,000,Hutchison Drive & Old Davis Road,Buses head Eastbound,38.540031,-121.746053,0
22001,001,Hutchison Drive & Old Davis Road,Buses head Westbound,38.540158,-121.746139,0
22002,002,First St & C St / Downtown,Buses head Eastbound,38.541523,-121.742543,0
22003,003,First St & D St / Downtown,Buses head Westbound,38.541818,-121.742051,0
22004,004,Richards Blvd & Olive Drive,Buses head Southbound,38.540645,-121.738537,0
22005,005,Second St & B St,Buses head Eastbound,38.542661,-121.743914,0
22006,006,C St & First St,Buses head Southbound,38.541913,-121.74309,0
22007,007,Second St & E St / Downtown,Buses head Eastbound,38.543139,-121.741185,0
22008,008,Russell & A St,Buses head Eastbound,38.546127,-121.747104,0
22009,009,Second St & E St / Downtown,Buses head Westbound,38.54333,-121.74093,0
22010,010,F St & Sixth St/Davis Food Co-op,Buses head Southbound,38.54839,-121.741446,0
22011,011,H St & Second St / Amtrak,Buses head Northbound,38.543988,-121.738023,0
22012,012,H St & Second St / Amtrak,Buses head Southbound,38.543941,-121.738245,0
22013,013,B St & Fourth St / Central Park,Buses head Northbound,38.544903,-121.74487,0
22014,014,B St & Fourth St / Central Park,Buses head Southbound,38.545045,-121.745131,0
22015,015,Third St & C St,Buses head Westbound,38.544213,-121.743911,0
22016,016,Third St & C St,Buses head Eastbound,38.544133,-121.743222,0
22017,017,Third St & E St,Buses head Westbound,38.54455,-121.741693,0
22018,018,Third St & E St,Buses head Eastbound,38.544507,-121.741143,0
22019,019,F St & Fourth St ,Buses head Southbound,38.545691,-121.740698,0
22020,020,F St & Fourth St ,Buses head Northbound,38.546296,-121.740677,0
22021,021,Russell Blvd & A Street/City Hall,Buses head Westbound,38.546382,-121.746873,0
22022,022,B St & Fifth St,Buses head Northbound,38.547003,-121.745445,0
22023,023,B St & Seventh St,Buses head Southbound,38.548927,-121.746168,0
22024,024,B St & Seventh St,Buses head Northbound,38.549654,-121.746057,0
22025,025,Fifth Street & D Street / Downtown,Buses head Eastbound,38.546886,-121.742982,0
22026,026,Fifth Street & D Street / Downtown,Buses head Westbound,38.546951,-121.743576,0
22027,027,F St & Sixth Street/Davis Food Co-op,Buses head Northbound,38.548795,-121.74143,0
22028,028,Fifth St & G St,Buses head Eastbound,38.547395,-121.739607,0
22029,029,Fifth St & I St,Buses head Westbound,38.547933,-121.737895,0
22030,030,Third St & K St,Buses head Westbound,38.545749,-121.735093,0
22031,031,Third St & K St,Buses head Eastbound,38.545644,-121.734501,0
22032,032,L St & Fourth Street,Buses head Southbound,38.547739,-121.734336,0
22033,033,L St & Fourth Street,Buses head Northbound,38.547423,-121.734054,0
22034,034,Cowell Blvd & Research Park Drive,Buses head Westbound,38.540122,-121.730212,0
22035,035,Cowell Blvd & Research Park Drive,Buses head Eastbound,38.539843,-121.730809,0
22036,036,Cowell Blvd & Drew Ave/Kaiser,Buses head Westbound,38.540044,-121.727536,0
22037,037,Cowell Blvd & Drew Ave/Kaiser,Buses head Eastbound,38.539742,-121.726847,0
22038,038,Cowell Blvd & Valdora Street/Safeway,Buses head Westbound,38.540116,-121.725093,0
22039,039,Pole Line Rd & Cowell Blvd,Buses head Southbound,38.542589,-121.72519,0
22040,040,Pole Line Rd & Cowell Blvd,Buses head Northbound,38.54221,-121.724375,0
22041,041,Cowell Blvd & Valdora St,Buses head Eastbound,38.540227,-121.723985,0
22042,042,Lillard Drive & Farragut Circle,Buses head Westbound,38.54136,-121.720724,0
22043,043,Lillard Drive & Evans Court,Buses head Westbound,38.541782,-121.71758,0
22044,044,Pole Line & S Diameter Drive,Buses head Northbound,38.550296,-121.726707,0
22045,045,Cowell Blvd & Halsey Circle,Buses head Westbound,38.54324,-121.722534,0
22046,046,Drummond Ave & Lillard Drive,Buses head Southbound,38.543707,-121.713573,0
22047,047,Drummond Ave & Cowell,Buses head Southbound,38.547133,-121.713367,0
22048,048,Cowell Blvd & Drummond Avenue,Buses head Eastbound,38.547353,-121.712628,0
22049,049,Cowell Blvd & Drummond Avenue,Buses head Westbound,38.54787,-121.713611,0
22050,050,Cowell Blvd & Research Park Drive/Axis Apartments,Buses head Westbound,38.546245,-121.721133,0
22051,051,Cowell Blvd & Ohlone Street,Buses head Eastbound,38.547404,-121.706092,0
22052,052,Cowell Blvd & Ohlone Street,Buses head Westbound,38.547689,-121.706556,0
22053,053,Cowell Blvd & La Vida Way,Buses head Westbound,38.548228,-121.703051,0
22054,054,Cowell Blvd & La Vida Way,Buses head Eastbound,38.548071,-121.702727,0
22055,055,Cowell Blvd & Ensenada Drive,Buses head Westbound,38.548026,-121.699944,0
22056,056,Cowell Blvd & Ensenada Drive,Buses head Eastbound,38.547758,-121.69978,0
